date,product,quantity,price,demand,delay_days,temperature,stock_level
2023-01-01,Rice,1000,50,950,0,22,1200
2023-01-02,Rice,1020,51,980,1,23,1180
2023-01-03,Rice,980,49,1000,0,24,1160
2023-01-04,Rice,1050,52,1020,2,21,1210
2023-01-05,Rice,990,48,970,1,25,1200
2023-01-06,Wheat,800,45,820,0,20,950
2023-01-07,Wheat,850,46,840,1,22,930
2023-01-08,Wheat,820,44,800,0,23,910
2023-01-09,Wheat,880,47,860,3,19,970
2023-01-10,Wheat,810,43,790,1,21,950
2023-01-11,Corn,1200,55,1180,0,26,1400
2023-01-12,Corn,1250,56,1220,2,27,1380
2023-01-13,Corn,1180,54,1200,1,25,1360
2023-01-14,Corn,1300,57,1280,0,28,1450
2023-01-15,Corn,1220,53,1190,1,26,1420
2023-01-16,Rice,1100,51,1080,0,23,1300
2023-01-17,Rice,1150,52,1120,1,24,1280
2023-01-18,Rice,1080,50,1050,2,22,1260
2023-01-19,Rice,1200,53,1180,0,25,1350
2023-01-20,Rice,1120,49,1090,1,23,1320
2023-01-21,Wheat,900,46,880,0,21,1050
2023-01-22,Wheat,950,47,920,1,22,1030
2023-01-23,Wheat,880,45,860,0,20,1010
2023-01-24,Wheat,1000,48,980,2,23,1100
2023-01-25,Wheat,920,44,900,1,21,1070
2023-01-26,Corn,1350,58,1320,0,29,1550
2023-01-27,Corn,1400,59,1380,1,30,1530
2023-01-28,Corn,1320,57,1300,0,28,1510
2023-01-29,Corn,1450,60,1420,2,31,1600
2023-01-30,Corn,1380,56,1350,1,29,1570
2023-02-01,Rice,1050,50,1020,0,22,1250
2023-02-02,Rice,1100,51,1080,1,23,1230
2023-02-03,Rice,1030,49,1000,0,24,1210
2023-02-04,Rice,1150,52,1120,2,21,1300
2023-02-05,Rice,1070,48,1040,1,25,1270
2023-02-06,Wheat,850,45,830,0,20,1000
2023-02-07,Wheat,900,46,880,1,22,980
2023-02-08,Wheat,870,44,850,0,23,960
2023-02-09,Wheat,950,47,920,3,19,1050
2023-02-10,Wheat,880,43,860,1,21,1020
2023-02-11,Corn,1280,55,1250,0,26,1480
2023-02-12,Corn,1330,56,1300,2,27,1460
2023-02-13,Corn,1260,54,1230,1,25,1440
2023-02-14,Corn,1380,57,1350,0,28,1530
2023-02-15,Corn,1300,53,1270,1,26,1500
2023-02-16,Rice,1120,51,1090,0,23,1320
2023-02-17,Rice,1170,52,1140,1,24,1300
2023-02-18,Rice,1100,50,1070,2,22,1280
2023-02-19,Rice,1220,53,1190,0,25,1370
2023-02-20,Rice,1140,49,1110,1,23,1340
2023-02-21,Rice,950,48,1100,5,35,400
2023-02-22,Wheat,800,42,950,6,12,300
2023-02-23,Corn,1100,52,1400,4,33,500
2023-02-24,Rice,900,47,1050,7,10,350
2023-02-25,Wheat,750,41,900,5,36,280
2023-02-26,Corn,1050,51,1350,8,8,450
2023-02-27,Rice,850,46,1000,6,38,320
2023-02-28,Wheat,700,40,850,9,11,250
2023-03-01,Corn,1000,50,1300,7,34,400
2023-03-02,Rice,800,45,950,10,9,300
